institution,frame,point,ci_low,ci_high
Commission,economic_opportunity,18.4,16.3,20.5
Commission,fundamental_rights,9.2,6.6,12.1
Commission,security_geopolitical,8.0,6.0,10.3
Commission,labour_social,5.7,4.2,7.5
Commission,consumer_protection,12.3,9.5,15.1
Commission,technological_innovation,35.4,31.9,38.9
Commission,regulatory_governance,11.0,8.9,13.3
Council,economic_opportunity,13.6,10.4,17.2
Council,fundamental_rights,13.2,7.8,20.1
Council,security_geopolitical,3.1,1.6,4.7
Council,labour_social,10.7,3.2,18.9
Council,consumer_protection,12.2,9.0,15.7
Council,technological_innovation,27.2,22.9,31.2
Council,regulatory_governance,20.0,12.6,27.9
Parliament,economic_opportunity,17.2,13.6,21.3
Parliament,fundamental_rights,14.4,10.3,19.5
Parliament,security_geopolitical,3.7,2.1,5.6
Parliament,labour_social,7.8,4.9,11.7
Parliament,consumer_protection,15.6,11.8,19.6
Parliament,technological_innovation,28.9,24.5,33.9
Parliament,regulatory_governance,12.5,8.9,16.1
