specification,group,against,terms
baseline,Commission,Parliament,"cloud, liability, was, were, costs, across, adoption, act, digital, sector, computing, some, respondents, source, eur, initiative, burden, expected, most, policy"
baseline,Parliament,Commission,"regard, calls, whereas, having, regulation, union, system, highlights, supervisory, persons, stresses, systems, notes, order, risk, considers, artificial, referred, parliament, entitled"
baseline,Parliament,Council,"technologies, calls, regard, whereas, having, stresses, use, digital, development, services, human, data, underlines, ethical, notes, research, consumer, importance, com, consumers"
baseline,Council,Parliament,"article, regulation, annex, paragraph, systems, section, office, harmonisation, listed, testing, legislation, referred, pursuant, iii, codes, conformity, covered, apply, bodies, assessment"
baseline,Commission,Council,"digital, services, sector, liability, across, technologies, cloud, data, policy, europe, research, were, was, business, but, computing, companies, some, applications, technology"
baseline,Council,Commission,"regulation, article, systems, annex, paragraph, referred, office, union, harmonisation, section, system, risk, conformity, legislation, listed, pursuant, testing, requirements, high, iii"
no_stopwords,Commission,Parliament,"will, would, cloud, liability, was, also, were, across, these, costs, more, adoption, act, digital, sector, computing, some, from, eur, source"
no_stopwords,Parliament,Commission,"that, regard, should, calls, shall, whereas, having, regulation, union, system, highlights, and, stresses, supervisory, notes, persons, order, considers, risk, systems"
no_stopwords,Parliament,Council,"technologies, and, calls, regard, whereas, having, stresses, use, digital, development, services, data, human, can, underlines, ethical, research, notes, consumer, importance"
no_stopwords,Council,Parliament,"article, regulation, shall, annex, paragraph, under, systems, section, office, harmonisation, this, listed, testing, legislation, referred, pursuant, iii, codes, conformity, covered"
no_stopwords,Commission,Council,"digital, will, services, sector, more, would, these, liability, across, data, technologies, can, cloud, policy, europe, also, research, was, were, business"
no_stopwords,Council,Commission,"regulation, article, shall, systems, annex, paragraph, referred, office, union, harmonisation, section, system, listed, conformity, risk, legislation, pursuant, testing, under, should"
drop_procedural,Commission,Parliament,"cloud, liability, was, were, costs, across, adoption, computing, sector, some, respondents, digital, source, initiative, eur, burden, expected, dma, most, option"
drop_procedural,Parliament,Commission,"calls, system, systems, risk, persons, highlights, order, supervisory, artificial, stresses, notes, considers, protection, intelligence, entitled, minors, education, robotics, high, market"
drop_procedural,Parliament,Council,"technologies, calls, stresses, use, digital, development, services, human, underlines, notes, ethical, data, consumer, research, importance, consumers, highlights, sector, transparency, potential"
