doc_id,work,institution,type_raw,mtype
0145f2f7-a373-11eb-9585-01aa75ed71a1,http://publications.europa.eu/resource/cellar/0145f2f7-a373-11eb-9585-01aa75ed71a1,Commission,IMPACT_ASSESS_SUM,xhtml
01c28e02-67d0-11ee-9220-01aa75ed71a1,http://publications.europa.eu/resource/cellar/01c28e02-67d0-11ee-9220-01aa75ed71a1,Commission,RECO,xhtml
01ff45fa-a375-11eb-9585-01aa75ed71a1,http://publications.europa.eu/resource/cellar/01ff45fa-a375-11eb-9585-01aa75ed71a1,Commission,COMMUNIC,xhtml
0269e2d1-479c-11f1-8095-01aa75ed71a1,http://publications.europa.eu/resource/cellar/0269e2d1-479c-11f1-8095-01aa75ed71a1,Council,NOTE,
05ba2702-5f3f-11f1-aa6d-01aa75ed71a1,http://publications.europa.eu/resource/cellar/05ba2702-5f3f-11f1-aa6d-01aa75ed71a1,Commission,COMMUNIC,xhtml
0694be88-a373-11eb-9585-01aa75ed71a1,http://publications.europa.eu/resource/cellar/0694be88-a373-11eb-9585-01aa75ed71a1,Commission,IMPACT_ASSESS,xhtml
07685fd2-48e4-11f1-8095-01aa75ed71a1,http://publications.europa.eu/resource/cellar/07685fd2-48e4-11f1-8095-01aa75ed71a1,Parliament,RES_LEGIS,xhtml
086a99ee-98f7-11eb-b85c-01aa75ed71a1,http://publications.europa.eu/resource/cellar/086a99ee-98f7-11eb-b85c-01aa75ed71a1,Council,STAT_REASON,xhtml
0ac0e899-285d-11f1-a7dd-01aa75ed71a1,http://publications.europa.eu/resource/cellar/0ac0e899-285d-11f1-a7dd-01aa75ed71a1,Parliament,OPIN_EP_CMT,
0bf089e6-48e5-11f1-8095-01aa75ed71a1,http://publications.europa.eu/resource/cellar/0bf089e6-48e5-11f1-8095-01aa75ed71a1,Parliament,OWNINI_RES,xhtml
0d017b78-1658-11f1-8870-01aa75ed71a1,http://publications.europa.eu/resource/cellar/0d017b78-1658-11f1-8870-01aa75ed71a1,Parliament,OPIN_EP_CMT,
0f4615e0-bb90-11ee-b164-01aa75ed71a1,http://publications.europa.eu/resource/cellar/0f4615e0-bb90-11ee-b164-01aa75ed71a1,Commission,COMMUNIC,xhtml
10220a8a-6fa1-11f1-ae88-01aa75ed71a1,http://publications.europa.eu/resource/cellar/10220a8a-6fa1-11f1-ae88-01aa75ed71a1,Council,ITEM_IA_NOTE,pdf
