doc_id,status,bytes,institution,type_raw,mtype
0145f2f7-a373-11eb-9585-01aa75ed71a1,ok,19789,Commission,IMPACT_ASSESS_SUM,xhtml
01c28e02-67d0-11ee-9220-01aa75ed71a1,ok,67570,Commission,RECO,xhtml
01ff45fa-a375-11eb-9585-01aa75ed71a1,ok,53903,Commission,COMMUNIC,xhtml
05ba2702-5f3f-11f1-aa6d-01aa75ed71a1,ok,92634,Commission,COMMUNIC,xhtml
0694be88-a373-11eb-9585-01aa75ed71a1,ok,733374,Commission,IMPACT_ASSESS,xhtml
07685fd2-48e4-11f1-8095-01aa75ed71a1,ok,14084,Parliament,RES_LEGIS,xhtml
086a99ee-98f7-11eb-b85c-01aa75ed71a1,ok,27489,Council,STAT_REASON,xhtml
0bf089e6-48e5-11f1-8095-01aa75ed71a1,ok,121374,Parliament,OWNINI_RES,xhtml
0f4615e0-bb90-11ee-b164-01aa75ed71a1,ok,146687,Commission,COMMUNIC,xhtml
10220a8a-6fa1-11f1-ae88-01aa75ed71a1,ok,132712,Council,ITEM_IA_NOTE,pdf
12616c1d-ab15-11ec-83e1-01aa75ed71a1,ok,82351,Parliament,OWNINI_RES,xhtml
16b4afba-3ff9-11ed-92ed-01aa75ed71a1,ok,163689,Commission,PROP_DIR,xhtml
16c1b366-c56f-11f0-8da2-01aa75ed71a1,ok,114522,Commission,COMMUNIC,xhtml
1923c62a-2640-11ec-bd8e-01aa75ed71a1,ok,167398,Parliament,OWNINI_RES,xhtml
194ae542-a421-11f0-97c8-01aa75ed71a1,ok,200373,Commission,COMMUNIC,xhtml
1b401959-9369-11f0-97c8-01aa75ed71a1,ok,98523,Parliament,RES_LEGIS,xhtml
1c4da5fb-d2e1-11ef-be2a-01aa75ed71a1,ok,6822,Commission,STAT,xhtml
1c819996-41c9-11ec-89db-01aa75ed71a1,ok,122274,Parliament,OWNINI_RES,xhtml
1cba1cf9-4311-11f1-8095-01aa75ed71a1,ok,106845,Commission,REPORT,xhtml
1cc94bc2-1e7f-11f1-8c3a-01aa75ed71a1,ok,73025,Council,RECO,xhtml
