code,label,broader
STECF,"Scientific, Technical and Economic Committee for Fisheries",COM
COUN_ASS_EC_BGR,EC–Bulgaria Association Council,EC
COUN_ASS_EC_SVN,EC–Slovenia Association Council,EC
COUN_COOP_EC_MKD,EC–Macedonia Cooperation Council,EC
REPRES_FRA,Representation in France,COM
TENTEA,Trans-European Transport Network Executive Agency,COM
CMT_MIX_EEC_EFTA,EEC–EFTA Joint Committee,EEC
EP_OFF_SPA,Liaison Office in Spain,EP
WB,World Bank,
APEC,Asia-Pacific Economic Cooperation,
ECAC,European Civil Aviation Conference,
CIS,Commonwealth of Independent States,
SCIC,Directorate-General for Interpretation,COM
COUN_ASS_EC_EST,EC–Estonia Association Council,EC
EUMS_NONEURO4,"Non-euro area Member States: Denmark, Greece, Sweden, United Kingdom",EUMS
COUN_JOIN,Joint Council,EURUN
STAT_COMMUN,Statistical Office,ECSC
AGRI,Directorate-General for Agriculture and Rural Development,COM
BUDG,Directorate-General for Budget,COM
CEPOL,European Union Agency for Law Enforcement Training,EURAG
CFI,Court of First Instance,CURIA
CJ,Court of Justice,CURIA
CMT_MIX_EC_EST,EC–Estonia Joint Committee,EC
CMT_ADVIS_MONOPOL,Advisory Committee on Restrictive Practices and Dominant Positions,EURUN
CMT_MIX_EEAREA,EEA Joint Committee,EEAREA
CMT_MIX_EEC_NOR,EEC–Norway Joint Committee,EEC
COM,European Commission,EURUN
COMP,Directorate-General for Competition,COM
CONSIL,Council of the European Union,EURUN
COR,European Committee of the Regions,EURUN
COURT_NAT,National Courts,EUMS
CST,Civil Service Tribunal,CURIA
CURIA,Court of Justice of the European Union,EURUN
DG01,"DG I – External Relations: Commercial Policy and Relations with North America, the Far East, Australia and New Zealand",COM
DG02,DG II – Economic and Financial Affairs,COM
DG03,DG III – Industry,COM
DG15,DG XV – Internal Market and Financial Services,COM
DG23,"DG XXIII – Enterprise Policy, Distributive Trades, Tourism and Cooperatives",COM
EC,European Communities,
ECA,European Court of Auditors,EURUN
ECB,European Central Bank,EURUN
ECFIN,Directorate-General for Economic and Financial Affairs,COM
ECHO,Directorate-General for European Civil Protection and Humanitarian Aid Operations (ECHO),COM
EEAS,European External Action Service,EURUN
EESC,European Economic and Social Committee,EURUN
EEC,European Economic Community,
EIB,European Investment Bank,EURUN
EMPL,"Directorate-General for Employment, Social Affairs and Inclusion",COM
ENER,Directorate-General for Energy,COM
ENV,Directorate-General for Environment,COM
EP,European Parliament,EURUN
EPSO,European Personnel Selection Office,COM
EP_AGRI,Committee on Agriculture and Rural Development,EP_CMT
EP_CULT,Committee on Culture and Education,EP_CMT
EP_DELCON,Delegation to the Conciliation Committee,EP_CMT
EP_ECON,Committee on Economic and Monetary Affairs,EP_CMT
EP_EMPL,Committee on Employment and Social Affairs,EP_CMT
EP_FEMM,Committee on Women’s Rights and Gender Equality,EP_CMT
EP_GROUP_ALDE,Group of the Alliance of Liberals and Democrats for Europe,EP_GROUP
EP_GROUP_ARC,Rainbow Group in the European Parliament,EP_GROUP
EP_GROUP_ARE,Group of the European Radical Alliance,EP_GROUP
EP_GROUP_COM,Communist and Allies Group,EP_GROUP
EP_GROUP_DEP,Group of European Progressive Democrats,EP_GROUP
EP_GROUP_ECR,European Conservatives and Reformists Group,EP_GROUP
EP_GROUP_ED,European Democratic Group,EP_GROUP
EP_GROUP_EFD,Europe of freedom and direct democracy Group,EP_GROUP
EP_GROUP_ELDR,"Group of the European Liberal, Democrat and Reform Party",EP_GROUP
EP_GROUP_EPP,Group of the European People’s Party,EP_GROUP
EP_GROUP_GREEN,The Green Group in the European Parliament,EP_GROUP
EP_GROUP_GREEN_EFA,Group of the Greens/European Free Alliance,EP_GROUP
EP_GROUP_GUE_NGL,The Left group in the European Parliament,EP_GROUP
EP_GROUP_LD,Liberal and Democratic Group,EP_GROUP
EP_GROUP_LDR,Liberal and Democratic Reformist Group,EP_GROUP
EP_GROUP_LEFT,Left Unity,EP_GROUP
EP_GROUP_NI,Non-attached Members,EP_GROUP
EP_GROUP_PSE,Socialist Group in the European Parliament,EP_GROUP
EP_GROUP_RDE,Group of the European Democratic Alliance,EP_GROUP
EP_GROUP_SD,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,EP_GROUP
EP_GROUP_UEN,Union for Europe of the Nations Group,EP_GROUP
EP_GROUP_UPE,Group Union for Europe,EP_GROUP
EP_IMCO,Committee on the Internal Market and Consumer Protection,EP_CMT
EP_INTA,Committee on International Trade,EP_CMT
EP_INTERNAL_POL,Directorate-General for Internal Policies of the Union,EP
EP_ITRE,"Committee on Industry, Research and Energy",EP_CMT
EP_LIBE,"Committee on Civil Liberties, Justice and Home Affairs",EP_CMT
EP_RELA,Committee on External Economic Relations,EP_CMT
EP_TRAN,Committee on Transport and Tourism,EP_CMT
ESTAT,Eurostat,COM
ETF,European Training Foundation,EURAG
EUMS10,"The ten Member States: Belgium, Denmark, Germany, Ireland, Greece, France, Italy, Luxembourg, Netherlands, United Kingdom",EUMS
EUMS12,"The twelve Member States: Belgium, Denmark, Germany, Ireland, Greece, Spain, France, Italy, Luxembourg, Netherlands, Portugal, United Kingdom",EUMS
EUMS27,"The twenty-seven Member States: Belgium, Bulgaria, Czech Republic, Denmark, Germany, Estonia, Ireland, Greece, Spain, France, Italy, Cyprus, Latvia, Lithuania, Luxembourg, Hungary, Malta, Netherlands, Austria, Poland, Portugal, Romania, Slovenia, Slovakia, Finland, Sweden, United Kingdom",EUMS
EUMS6,"The six Member States: Belgium, Germany, France, Italy, Luxembourg, Netherlands",EUMS
EUMS,The Member States,EURUN
EUROPOL,Europol,EURAG
EURCOM,European Community,
EURUN,European Union,
FISMA,"Directorate-General for Financial Stability, Financial Services and Capital Markets Union",COM
FRONTEX,Frontex,EURAG
GCEU,General Court,CURIA
IES,Institute for Environment and Sustainability,JRC
INTPA,Directorate-General for International Partnerships,COM
JLS,"Directorate-General for Justice, Freedom and Security",COM
JRCGEEL,Institute for Reference Materials and Measurements,JRC
JRCISP,Joint Research Centre – Ispra,JRC
MARE,Directorate-General for Maritime Affairs and Fisheries,COM
MARKT,Directorate-General for the Internal Market and Services,COM
NEAR,Directorate-General for Neighbourhood and Enlargement Negotiations,COM
OAMI,European Union Intellectual Property Office,EURAG
OP_DATPRO,Provisional data,
PUBL,Publications Office of the European Union,COM
RTD,Directorate-General for Research and Innovation,COM
SANTE,Directorate-General for Health and Food Safety,COM
SG,Secretariat-General,COM
TAXUD,Directorate-General for Taxation and Customs Union,COM
TRADE,Directorate-General for Trade and Economic Security,COM
TREN,Directorate-General for Energy and Transport,COM
CASSTM,Administrative Commission on Social Security for Migrant Workers,COM
CEDEFOP,Cedefop,EURAG
CLIMA,Directorate-General for Climate Action,COM
COMMU,Directorate-General for Communication,COM
CPVO,Community Plant Variety Office,EURAG
DEV,"Directorate-General for Development and Relations with African, Caribbean and Pacific States",COM
DG10,"DG X – Information, Communication, Culture and Audiovisual Media",COM
DG17,Directorate-General for Energy,COM
EAC,"Directorate-General for Education, Youth, Sport and Culture",COM
EFTA_SUC,EFTA Surveillance Authority,EFTA
ENTR,Directorate-General for Enterprise and Industry,COM
EP_BUDG,Committee on Budgets,EP_CMT
EP_CONT,Committee on Budgetary Control,EP_CMT
EP_ENVI,"Committee on the Environment, Climate and Food Safety",EP_CMT
EP_GROUP_CDI,Group for the Technical Coordination and Defence of Independent Groups and Members,EP_GROUP
EP_GROUP_EUL,Group for the European United Left,EP_GROUP
EUROFOUND,Eurofound,EURAG
FRA,European Union Agency for Fundamental Rights,EURAG
GOVREP,Representatives of the Governments of the Member States,EUMS
GROW,"Directorate-General for Internal Market, Industry, Entrepreneurship and SMEs",COM
HOME,Directorate-General for Migration and Home Affairs,COM
JRC,Joint Research Centre,COM
HRUFASP,High Representative of the Union,EEAS
JRCSEV,Institute for Prospective Technological Studies,JRC
MOVE,Directorate-General for Mobility and Transport,COM
OLAF,European Anti-Fraud Office,COM
OSHA,European Agency for Safety and Health at Work,EURAG
RELEX,Directorate-General for External Relations,COM
SRB,Single Resolution Board,EURAG
EP_AFET,Committee on Foreign Affairs,EP_CMT
UNICE,Union of Industries of the European Community,
EUMS15,"The fifteen Member States: Belgium, Denmark, Germany, Ireland, Greece, Spain, France, Italy, Luxembourg, Netherlands, Austria, Portugal, Finland, Sweden, United Kingdom",EUMS
CONSIL_SG,General Secretariat of the Council,CONSIL
CMT_MIX_EEC_AND,EEC–Andorra Joint Committee,EEC
CMT_MIX_EEC_CHE,EEC–Switzerland Joint Committee,EEC
COU_EUR,Council of Europe,
EACEA,European Education and Culture Executive Agency,COM
EAEC,European Atomic Energy Community,
EASO,European Asylum Support Office,EURAG
EBA,European Banking Authority,EURAG
ECSC_HA,High Authority,ECSC
EMCDDA,European Monitoring Centre for Drugs and Drug Addiction,EURAG
EP_AFCO,Committee on Constitutional Affairs,EP_CMT
EP_DEVE,Committee on Development,EP_CMT
EP_GROUP_DR,Technical Group of the European Right,EP_GROUP
EP_GROUP_IEDN,Group of Independents for a Europe of Nations,EP_GROUP
EP_GROUP_IND_DEM,Independence/Democracy Group,EP_GROUP
EP_JURI,Committee on Legal Affairs,EP_CMT
EP_PECH,Committee on Fisheries,EP_CMT
ESMA,European Securities and Markets Authority,EURAG
HR,Directorate-General for Human Resources and Security,COM
EUMS9,"The nine Member States: Belgium, Denmark, Germany, Ireland, France, Italy, Luxembourg, Netherlands, United Kingdom",EUMS
INFSO,Directorate-General for the Information Society and Media,COM
REGIO,Directorate-General for Regional and Urban Policy,COM
UNESCO,Unesco,UNO
UNO,United Nations Organisation,
ACP,"African, Caribbean and Pacific Group of States",
ACP_MIN,ACP Council of Ministers,
CNECT,"Directorate-General for Communications Networks, Content and Technology",COM
DG01A,"DG IA – External Relations: Europe and the New Independent States, Common Foreign and Security Policy and External Missions",COM
ECDC,European Centre for Disease Prevention and Control,EURAG
ECSC,European Coal and Steel Community,
EDPS,European Data Protection Supervisor,EURUN
EFTA_COURT,EFTA Court,EFTA
EP_GROUP_CHD,Christian-Democratic Group (Group of the European People’s Party),EP_GROUP
EP_GROUP_ECNS,European Conservative Group,EP_GROUP
EP_GROUP_EDD,Group for a Europe of Democracies and Diversities,EP_GROUP
EP_GROUP_TDI,Technical Group of Independent Members – mixed group,EP_GROUP
EP_REGI,Committee on Regional Development,EP_CMT
SANCO,Directorate-General for Health and Consumers,COM
OSCE,Organization for Security and Cooperation in Europe,
UNCHR,United Nations Commission on Human Rights,UNO
UNSEC,United Nations Secretariat,UNO
AIDCO,EuropeAid Co-operation Office,COM
BEREC,Body of European Regulators for Electronic Communications,EURUN
CMT_MIX_EEC_SWE,EEC–Sweden Joint Committee,EEC
ECHA,European Chemicals Agency,EURAG
CRS,Catholic Relief Service,
EEA,European Environment Agency,EURAG
EIGE,European Institute for Gender Equality,EURAG
ENISA,European Union Agency for Cybersecurity,EURAG
EP_GROUP_GUE,Confederal Group of the European United Left,EP_GROUP
ERA,European Union Agency for Railways,EURAG
EUISS,European Union Institute for Security Studies,EURAG
EURY,Eurydice,EACEA
IPSC,Institute for the Protection and Security of the Citizen,JRC
SJ,Legal service,COM
COUN_ASS_EEC_CYP,EEC–Cyprus Association Council,EEC
UNECE,United Nations Economic Commission for Europe,ECOSOC
EFSA,European Food Safety Authority,EURAG
EURCOU,European Council,EURUN
EP_GROUP_FE,Forza Europa Group,EP_GROUP
EP_PETI,Committee on Petitions,EP_CMT
EP_POLI,Political Affairs Committee,EP_CMT
ACP-EU_JA,ACP–EU Joint Assembly,
CMT_MIX_EU_CHE,EU–Switzerland Joint Committee,EURUN
CORDIS,CORDIS,PUBL
COR_COTER,Commission for Territorial Cohesion Policy and EU Budget,COR
DG07,DG VII – Transport,COM
ELARG,Directorate-General for Enlargement,COM
EAEC_COM,Commission,EAEC
JUST,Directorate-General for Justice and Consumers,COM
SCAD,Automated Central Documentation Service,COM
CMT_PSC,Political and Security Committee,CONSIL
ACP-EU_JPA,ACP–EU Joint Parliamentary Assembly,
COUN_ASS_EC_ROU,EC–Romania Association Council,EC
EFTA_SEC,EFTA Secretariat,EFTA
EMEA,European Medicines Agency,EURAG
EP_GROUP,Political groups at the European Parliament,EP
EP_RESEARCH,Directorate-General for Parliamentary Research Services,EP
NP,National parliaments,EUMS
CCSS,Administrative Commission for the Coordination of Social Security Systems,COM
REPRES_SPA,Representation in Spain,COM
